大区分,品名,相数,容量,1次,2次,結線,CP,コード,型式,定価,貴社仕切
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,2000,JIS6-3K(5ﾀｯﾌﾟ),210,Δ/Δ,CP,1434-2149,3OT3P2000K663K2,55854000 ,16672800 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,10,JIS3K(3ﾀｯﾌﾟ),210-105,単三専用,CP,1432-2016,3OT1P10K63K2,1584000 ,472800 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,20,JIS3K(3ﾀｯﾌﾟ),210-105,単三専用,CP,1432-2026,3OT1P20K63K2,1856000 ,554000 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,30,JIS3K(3ﾀｯﾌﾟ),210-105,単三専用,CP,1432-2036,3OT1P30K63K2,2102000 ,627200 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,50,JIS3K(3ﾀｯﾌﾟ),210-105,単三専用,CP,1432-2056,3OT1P50K63K2,2583000 ,770800 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,75,JIS3K(5ﾀｯﾌﾟ),210-105,単三専用,CP,1433-2076,3OT1P75K63K2,3196000 ,954000 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,100,JIS3K(5ﾀｯﾌﾟ),210-105,単三専用,CP,1433-2006,3OT1P100K63K2,3862000 ,1152800 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,150,JIS3K(5ﾀｯﾌﾟ),210-105,単三専用,CP,1433-2016,3OT1P150K63K2,5159000 ,1540000 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,200,JIS3K(5ﾀｯﾌﾟ),210-105,単三専用,CP,1433-2026,3OT1P200K63K2,6390000 ,1907200 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,300,JIS3K(5ﾀｯﾌﾟ),210-105,単三専用,CP,1434-2036,3OT1P300K63K2,8894000 ,2654800 
