大区分,品名,相数,容量,1次,2次,結線,CP,コード,型式,定価,貴社仕切
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,1500,JIS6K(5ﾀｯﾌﾟ),210,Δ/Δ,CP,1434-2117,3OT3P1500K66K2C,"¥42,110,000","¥12,570,000"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,2000,JIS6K(5ﾀｯﾌﾟ),210,Δ/Δ,CP,1434-2127,3OT3P2000K66K2C,"¥55,854,000","¥16,672,800"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,10,JIS6-3K(3ﾀｯﾌﾟ),210-105,単三専用,CP,1432-2015,3OT1P10K663K2,"¥1,655,000","¥494,000"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,20,JIS6-3K(3ﾀｯﾌﾟ),210-105,単三専用,CP,1432-2025,3OT1P20K663K2,"¥1,942,000","¥579,600"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,30,JIS6-3K(3ﾀｯﾌﾟ),210-105,単三専用,CP,1432-2035,3OT1P30K663K2,"¥2,203,000","¥657,600"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,50,JIS6-3K(3ﾀｯﾌﾟ),210-105,単三専用,CP,1432-2055,3OT1P50K663K2,"¥2,705,000","¥807,200"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,75,JIS6-3K(5ﾀｯﾌﾟ),210-105,単三専用,CP,1433-2075,3OT1P75K663K2,"¥3,349,000","¥999,600"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,100,JIS6-3K(5ﾀｯﾌﾟ),210-105,単三専用,CP,1433-2005,3OT1P100K663K2,"¥4,046,000","¥1,207,600"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,150,JIS6-3K(5ﾀｯﾌﾟ),210-105,単三専用,CP,1433-2015,3OT1P150K663K2,"¥5,406,000","¥1,613,600"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,200,JIS6-3K(5ﾀｯﾌﾟ),210-105,単三専用,CP,1433-2025,3OT1P200K663K2,"¥6,687,000","¥1,996,000"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,300,JIS6-3K(5ﾀｯﾌﾟ),210-105,単三専用,CP,1434-2035,3OT1P300K663K2,"¥9,320,000","¥2,782,000"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,500,JIS6-3K(5ﾀｯﾌﾟ),210-105,単三専用,CP,1434-2055,3OT1P500K663K2,"¥15,281,000","¥4,561,200"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,20,JIS6-3K(3ﾀｯﾌﾟ),210,Y/Y,CP,1432-2126,3OT3P20K663K2,"¥2,395,000","¥714,800"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,30,JIS6-3K(3ﾀｯﾌﾟ),210,Y/Y,CP,1432-2136,3OT3P30K663K2,"¥2,638,000","¥787,200"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,50,JIS6-3K(3ﾀｯﾌﾟ),210,Y/Y,CP,1432-2156,3OT3P50K663K2,"¥3,159,000","¥942,800"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,75,JIS6-3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1433-2184,3OT3P75K663K2,"¥3,786,000","¥1,130,000"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,100,JIS6-3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1433-2100,3OT3P100K663K2,"¥4,448,000","¥1,327,600"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,150,JIS6-3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1433-2120,3OT3P150K663K2,"¥5,736,000","¥1,712,000"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,200,JIS6-3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1433-2130,3OT3P200K663K2,"¥6,974,000","¥2,081,600"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,300,JIS6-3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1434-2142,3OT3P300K663K2,"¥10,258,000","¥3,062,000"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,500,JIS6-3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1434-2143,3OT3P500K663K2,"¥16,338,000","¥4,876,800"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,750,JIS6-3K(5ﾀｯﾌﾟ),210,Δ/Δ,CP,1434-2144,3OT3P750K663K2,"¥20,950,000","¥6,253,600"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,1000,JIS6-3K(5ﾀｯﾌﾟ),210,Δ/Δ,CP,1434-2145,3OT3P1000K663K2,"¥27,930,000","¥8,337,200"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,1500,JIS6-3K(5ﾀｯﾌﾟ),210,Δ/Δ,CP,1434-2146,3OT3P1500K663K2,"¥42,110,000","¥12,570,000"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,2000,JIS6-3K(5ﾀｯﾌﾟ),210,Δ/Δ,CP,1434-2149,3OT3P2000K663K2,"¥55,854,000","¥16,672,800"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,10,JIS3K(3ﾀｯﾌﾟ),210-105,単三専用,CP,1432-2016,3OT1P10K63K2,"¥1,584,000","¥472,800"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,20,JIS3K(3ﾀｯﾌﾟ),210-105,単三専用,CP,1432-2026,3OT1P20K63K2,"¥1,856,000","¥554,000"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,30,JIS3K(3ﾀｯﾌﾟ),210-105,単三専用,CP,1432-2036,3OT1P30K63K2,"¥2,102,000","¥627,200"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,50,JIS3K(3ﾀｯﾌﾟ),210-105,単三専用,CP,1432-2056,3OT1P50K63K2,"¥2,583,000","¥770,800"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,75,JIS3K(5ﾀｯﾌﾟ),210-105,単三専用,CP,1433-2076,3OT1P75K63K2,"¥3,196,000","¥954,000"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,100,JIS3K(5ﾀｯﾌﾟ),210-105,単三専用,CP,1433-2006,3OT1P100K63K2,"¥3,862,000","¥1,152,800"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,150,JIS3K(5ﾀｯﾌﾟ),210-105,単三専用,CP,1433-2016,3OT1P150K63K2,"¥5,159,000","¥1,540,000"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,200,JIS3K(5ﾀｯﾌﾟ),210-105,単三専用,CP,1433-2026,3OT1P200K63K2,"¥6,390,000","¥1,907,200"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,300,JIS3K(5ﾀｯﾌﾟ),210-105,単三専用,CP,1434-2036,3OT1P300K63K2,"¥8,894,000","¥2,654,800"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,500,JIS3K(5ﾀｯﾌﾟ),210-105,単三専用,CP,1434-2056,3OT1P500K63K2,"¥14,586,000","¥4,354,000"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,20,JIS3K(3ﾀｯﾌﾟ),210,Y/Y,CP,1432-2127,3OT3P20K63K2,"¥2,284,000","¥681,600"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,30,JIS3K(3ﾀｯﾌﾟ),210,Y/Y,CP,1432-2137,3OT3P30K63K2,"¥2,518,000","¥751,600"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,50,JIS3K(3ﾀｯﾌﾟ),210,Y/Y,CP,1432-2157,3OT3P50K63K2,"¥3,015,000","¥900,000"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,75,JIS3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1433-2170,3OT3P75K63K2,"¥3,610,000","¥1,077,600"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,100,JIS3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1433-2110,3OT3P100K63K2,"¥4,251,000","¥1,268,800"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,150,JIS3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1433-2139,3OT3P150K63K2,"¥5,474,000","¥1,634,000"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,200,JIS3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1433-2140,3OT3P200K63K2,"¥6,663,000","¥1,988,800"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,300,JIS3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1434-2150,3OT3P300K63K2,"¥9,792,000","¥2,922,800"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,500,JIS3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1434-2160,3OT3P500K63K2,"¥15,594,000","¥4,654,800"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,750,JIS3K(5ﾀｯﾌﾟ),210,Δ/Δ,CP,1434-2161,3OT3P750K63K2,"¥19,997,000","¥5,969,200"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,1000,JIS3K(5ﾀｯﾌﾟ),210,Δ/Δ,CP,1434-2162,3OT3P1000K63K2,"¥26,660,000","¥7,958,000"
